Title,Year,Duration,MPA,Rating,Votes,description,Movie Link,writers,directors,stars,Languages,oscar_nominated,oscar_winner,globe_nominated,globe_winner,globe_category,oscar_category,méta_score,directors[0],writers[0],stars[0],genres,genres_first2,genre1,genre2,prob_vencer_oscar
Snow White,2025,109,PG,1.6,152000.0,A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother the Evil Queen.,https://www.imdb.com/title/tt6208148/?ref_=sr_i_4,"Erin Cressida Wilson, Jacob Grimm, Wilhelm Grimm",Marc Webb,"Rachel Zegler, Emilia Faucher, Gal Gadot, Andrew Burnap, Andrew Barth Feldman, Tituss Burgess, Martin Klebba, Jason Kravits, George Salazar, Jeremy Swift","English, German",unknown,,unknown,unknown,,,50.0,,,,"Fairy Tale, Feel-Good Romance, Adventure, Family, Fantasy, Musical, Romance","Fairy Tale, Feel-Good Romance",Fairy Tale,Feel-Good Romance,0.22882003
Bridget Jones: Mad About the Boy,2025,124,R,6.7,19000.0,"Bridget Jones navigates life as a widow and single mum with the help of her family, friends, and former lover, Daniel. Back to work and on the apps, she's pursued by a younger man and maybe - just maybe - her son's science teacher.",https://www.imdb.com/title/tt32063050/?ref_=sr_i_68,"Helen Fielding, Dan Mazer, Abi Morgan",Michael Morris,"Renée Zellweger, Chiwetel Ejiofor, Leo Woodall, Hugh Grant, Mila Jankovic, Casper Knopf, Elena Rivers, Colin Firth, Neil Edmond, Sally Phillips",English,unknown,,unknown,unknown,,,72.0,,,,"Romantic Comedy, Comedy, Drama, Romance","Romantic Comedy, Comedy",Romantic Comedy,Comedy,0.22869726
Wolf Man,2025,103,R,5.6,23000.0,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable.",https://www.imdb.com/title/tt4216984/?ref_=sr_i_11,"Leigh Whannell, Corbett Tuck",Leigh Whannell,"Christopher Abbott, Julia Garner, Matilda Firth, Sam Jaeger, Ben Prendergast, Zac Chandler, Benedict Hardie, Milo Cawthorne, Leigh Whannell, Rob MacBride",English,unknown,,unknown,unknown,,,50.0,,,,"Body Horror, Werewolf Horror, Horror","Body Horror, Werewolf Horror",Body Horror,Werewolf Horror,0.099539004
Into the Deep,2025,90,R,3.4,784.0,Modern day pirates on the hunt for sunken drugs kidnap a boat of tourists and force them to dive into shark infested waters to retrieve the contraband.,https://www.imdb.com/title/tt28637027/?ref_=sr_i_240,"Chad Law, Josh Ridgway",Christian Sesma,"Callum McGowan, Scout Taylor-Compton, Jon Seda, Stuart Townsend, Richard Dreyfuss, AnnaMaria Demara, David Gray, Lorena Sarria, Tofan Pirani, Ron Smoorenburg",English,unknown,,unknown,unknown,,,,,,,"B-Action, Action, Thriller","B-Action, Action",B-Action,Action,0.06820935
The Alto Knights,2025,123,R,5.9,2300.0,"Two of New York City's most notorious organized crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course.",https://www.imdb.com/title/tt21815562/?ref_=sr_i_21,Nicholas Pileggi,Barry Levinson,"Robert De Niro, Debra Messing, Kathrine Narducci, Cosmo Jarvis, Michael Rispoli, Robert Uricola, Frank Piccirillo, Matt Servitto, Louis Mustillo, Anthony J. Gallo",English,unknown,,unknown,unknown,,,46.0,,,,"Docudrama, Gangster, Period Drama, True Crime, Biography, Crime, Drama, History","Docudrama, Gangster",Docudrama,Gangster,0.033876184
Giant,2025,0,unknown,,,"Inspired by the real-life story of Prince Naseem ""Naz"" Hamed, a British-Yemeni boxer, and his journey from humble beginnings to becoming a world champion and his training under Brendan Ingle who played a crucial role in his success.",https://www.imdb.com/title/tt26452616/?ref_=sr_i_585,Rowan Athale,Rowan Athale,"Pierce Brosnan, Austin Haynes, Amir El-Masry, Arian Nik, Katherine Dow Blyton, Isabelle Bonfrer, Andy M Milligan, Rocco Haynes, Clint Gordon, Adele Lupton",unknown,unknown,,unknown,unknown,BEST MOTION PICTURE - DRAMA,BEST MOTION PICTURE,,,,,"Drama, Sport","Drama, Sport",Drama,Sport,0.025269354
The Twister: Caught in the Storm,2025,89,TV-MA,6.7,2200.0,"It is graduation day in Joplin, Missouri. As the Class of 2011 collect their diplomas, their hometown is hit by a rare EF-5 tornado. Believing it could be the end of the world, a group of teenagers find themselves in the eye of the storm.",https://www.imdb.com/title/tt35882698/?ref_=sr_i_72,Alexandra Lacey,Alexandra Lacey,"Mike Bettes, Cecil Cornish, Chad Crilley, Doug Heady, Helen Hunt, Don Lemon, Will Norton, Barack Obama, Anderson Cooper",English,unknown,,unknown,unknown,,,,,,,Documentary,Documentary,Documentary,unknown,0.022603376
Contraataque,2025,84,TV-MA,6.0,3500.0,"Five friends shopping at US/Mexico border face sicario hitmen, but the targets are actually Murciélagos.",https://www.imdb.com/title/tt23648788/?ref_=sr_i_92,Jose Ruben Escalante Mendez,Chava Cartas,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, David Calderón León, Guillermo Nava, Mayra Batalla, Ishbel Bautista, Israel Islas, Frida Jiser",Spanish,unknown,,unknown,unknown,,,,,,,"Action, Thriller","Action, Thriller",Action,Thriller,0.020938927
The Most Beautiful Girl in the World,2025,122,TV-14,6.1,655.0,A playboy stages a dating show to earn his inheritance by granting his father's last wish: for his son to marry the most beautiful girl in the world.,https://www.imdb.com/title/tt34749630/?ref_=sr_i_434,"Ifan Ismail, Robert Ronny, Titien Wattimena",Robert Ronny,"Reza Rahadian, Sheila Dara Aisha, Kevin Julio, Indra Birowo, Jihane Almira, Bucek Depp, Ira Wibowo, Frederika Cull, Dea Panendra, Agastya Kandou",Indonesian,unknown,,unknown,unknown,,,,,,,"Feel-Good Romance, Romantic Comedy, Showbiz Drama, Comedy, Romance","Feel-Good Romance, Romantic Comedy",Feel-Good Romance,Romantic Comedy,0.018003555
Love Hurts,2025,83,R,5.2,7500.0,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",https://www.imdb.com/title/tt30788842/?ref_=sr_i_16,"Matthew Murray, Josh Stoddard, Luke Passmore",Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir, Lio Tipton, Daniel Wu, Cam Gigandet, Marshawn Lynch, André Eriksen, Rhys Darby, Sean Astin","English, Russian",unknown,,unknown,unknown,,,34.0,,,,"Martial Arts, Action, Comedy","Martial Arts, Action",Martial Arts,Action,0.015867468
